# dt1_mean tres_mean dt1_std tres_std overall_std
1.500000000000000000e+00 1.500000000000000000e+01 1.200000000000000178e+00 4.000100001250010529e+00 1.000000000000000000e+00
8.435204712125662363e-01 1.487101995473641658e+01 1.712018339481974571e+00 4.496234136427562866e+00 1.217757980384944094e+00
6.123769778873277003e-01 1.553858096062406524e+01 1.504066639395181593e+00 3.773725360187726530e+00 1.205915997443015364e+00
4.902507722816863978e-01 1.503381935637339950e+01 8.825850641567537513e-01 3.427758069995755719e+00 1.143678565973806460e+00
5.059455404137599421e-01 1.480014185743952915e+01 8.087754996993871126e-01 2.495739941608368095e+00 1.029560303248242992e+00
7.613863803397853403e-01 1.473464814071925488e+01 8.431020184529453010e-01 1.492019059034887407e+00 1.080886760950420689e+00
7.926152008809541627e-01 1.428141692113745442e+01 7.927274963354937753e-01 1.494530274691588057e+00 1.130897479025100516e+00
9.492904219657913867e-01 1.416407587091366516e+01 6.042934526855321398e-01 1.600228468541525562e+00 1.111230327656273387e+00
1.057210862971285525e+00 1.418694056766500822e+01 2.776025045882007936e-01 1.545940995930077611e+00 1.088172053626426550e+00
1.005160513264577560e+00 1.446647464714846976e+01 9.772259000825275765e-02 1.237318689556930806e+00 1.074098037515054616e+00
1.008331672968815651e+00 1.459095893983651848e+01 4.027291952813619180e-02 9.434669859818712867e-01 9.989525094508813208e-01
1.003051720813981307e+00 1.491922516667767695e+01 2.570744811010711173e-02 8.610694997786324523e-01 1.077608315000582850e+00
9.982373098037817805e-01 1.500013233517730349e+01 1.706332853450587966e-02 5.868087711078855406e-01 1.051413284704102669e+00
9.959060815731427541e-01 1.498286324146525494e+01 1.244367651596065862e-02 3.951925444646384733e-01 1.051622032604209611e+00
9.934792044076435902e-01 1.503648587898333311e+01 8.548314951550981672e-03 2.918758591318799112e-01 1.036367161916238455e+00
9.962000475388742560e-01 1.496987573479161959e+01 6.714003187374771586e-03 2.210540011272085492e-01 1.077979569410579597e+00
9.959645212520084057e-01 1.497849875195144875e+01 5.377557259764235119e-03 1.628720735078828530e-01 9.355220424072193675e-01
9.956300063836630576e-01 1.501106730557184754e+01 5.105798990992359287e-03 1.172285028650375122e-01 9.343917308829507995e-01
9.937064761734646368e-01 1.503006836869383278e+01 4.607649836548690682e-03 1.001831461434229686e-01 1.028300128721711726e+00
9.939483542815492623e-01 1.503731550503674086e+01 3.952574119456149331e-03 7.577253413765765166e-02 9.582797564392921963e-01
9.933100048546105176e-01 1.503484227429623310e+01 3.172309508311390702e-03 6.608058843643074831e-02 9.500678153950952165e-01
9.933913635859964453e-01 1.502509128593695209e+01 2.789128715607288797e-03 5.227779843993218822e-02 9.169907451483003680e-01
9.934303827563504274e-01 1.502530327358869755e+01 1.917252811505671837e-03 3.662005412152365830e-02 7.915817604761647974e-01
9.935372089900580406e-01 1.503480466334799814e+01 1.783168067006550388e-03 4.014387204492442934e-02 8.363459784793036977e-01
9.936206848656022883e-01 1.502368275419124721e+01 1.740298582497676544e-03 3.915265338744163687e-02 8.462609964310692234e-01
9.940144257888524626e-01 1.501490127352365711e+01 1.594738696380847793e-03 3.961483930269955878e-02 8.617537359589818591e-01
9.941043457797041905e-01 1.501100817513173347e+01 1.110108271276225283e-03 2.770898709597497192e-02 7.970736934937671103e-01
9.943336485204440356e-01 1.501000376130625469e+01 8.932334303941968489e-04 1.964827265190196431e-02 7.905749238890409369e-01
9.944607199135025999e-01 1.500856752982571507e+01 7.741649983666343011e-04 1.827745649073965820e-02 7.519639482702912270e-01
9.943713549487208647e-01 1.500446922266421623e+01 7.170048580585027583e-04 1.960375651656520030e-02 7.627751509744492564e-01
9.944968173794174193e-01 1.500182041761972940e+01 5.091488563971024962e-04 1.719011181346139297e-02 7.482536817077577451e-01
9.946952700256781466e-01 1.500017308200408550e+01 6.047241827867616982e-04 2.054311245594357335e-02 8.322930397800830660e-01
9.946304668980320285e-01 1.500157325637098715e+01 4.252922976806999887e-04 1.519664028165379141e-02 7.512639611990874489e-01
9.947875604799828464e-01 1.500212500626387602e+01 4.442391522348387487e-04 1.520432277716268071e-02 8.146520787752744575e-01
9.949101958242932975e-01 1.500753728798803799e+01 4.813444982367123359e-04 1.509182798123182012e-02 9.290629172419020421e-01
9.949784138973857273e-01 1.501153926481458356e+01 4.553826242682149734e-04 1.873697993757758931e-02 9.731444753261181413e-01
9.949694729956867212e-01 1.501208772667766667e+01 2.302423810560896996e-04 1.561318809695557211e-02 8.684781944526702713e-01
9.949831076672117636e-01 1.501605252837272353e+01 2.087400628229733423e-04 1.596293836339338773e-02 8.783278325395720287e-01
9.949976231293599094e-01 1.501596243721487056e+01 1.477632050696142045e-04 1.128546285484635994e-02 7.923353263592891604e-01
9.950122569702314346e-01 1.501928352027442770e+01 1.088655253708549291e-04 1.246757736149165831e-02 8.204011325636990648e-01
9.950348328203801884e-01 1.501952532468573942e+01 8.276027172866932393e-05 7.901493542429515252e-03 8.243707224889575969e-01
9.950501032724237138e-01 1.502030551252724599e+01 6.822705899359051242e-05 5.243193089526099367e-03 8.068059703657085580e-01
9.950390585371490237e-01 1.501957236805399454e+01 5.297980971674606809e-05 4.526529571290574365e-03 7.612180542244262327e-01
9.950342404068627244e-01 1.501921755892128907e+01 4.424173256835932562e-05 3.717393987025295957e-03 7.012207382685544665e-01
9.950264518676424919e-01 1.501742918775972413e+01 5.787235954751301649e-05 4.886949256013268551e-03 8.227780556765329489e-01
9.950212485709315491e-01 1.501700142747315425e+01 4.885178045114873889e-05 4.597954926809206221e-03 7.744597749087871463e-01
9.950055534004852431e-01 1.501605126661468681e+01 5.387184682045727561e-05 5.112086285839078162e-03 8.217715399223954886e-01
9.950003627655040761e-01 1.501536765642750559e+01 4.372106325383470960e-05 4.241352729896489919e-03 7.766818023405958060e-01
9.949958026599324823e-01 1.501514583918169699e+01 3.397105547538230774e-05 4.202172685816569879e-03 7.212507322415468991e-01
9.949989819015211401e-01 1.501485508580465833e+01 1.554432742228988869e-05 3.046552601132640307e-03 7.176165906009730477e-01
9.950018660634883938e-01 1.501454072627692859e+01 8.406787777457240822e-06 2.412830463224648666e-03 7.603135652192647420e-01
9.949979995369562236e-01 1.501482350814910838e+01 7.045034581586088641e-06 1.797091582798333908e-03 8.755543900214419750e-01
9.949967697855347515e-01 1.501457273235367218e+01 3.763987339181766712e-06 1.362794182221012873e-03 8.935011847895972803e-01
9.949959847968903315e-01 1.501449402918482789e+01 2.640300387132985204e-06 1.039170103484078579e-03 8.888263269429107494e-01
9.949963312199996412e-01 1.501440774732043337e+01 1.299094806300214931e-06 4.953697425692122356e-04 8.564802317907761475e-01
9.949967488983596509e-01 1.501465387657992956e+01 1.115910611436002200e-06 3.863344519381169259e-04 1.013578248671920923e+00
9.949967675506159459e-01 1.501476023318194208e+01 7.865866426863397323e-07 1.746233632810802649e-04 1.089149703551554715e+00
9.949968241897992893e-01 1.501480029684934436e+01 7.893318934296427180e-07 9.966431578938520104e-05 1.108479980660525221e+00
9.949969601592648649e-01 1.501483378081523412e+01 8.255737931047840057e-07 9.092871364864405274e-05 1.226918294135192822e+00
9.949967419183639583e-01 1.501483194954228040e+01 7.989285881259385868e-07 4.356081990659450506e-05 1.235042744823063865e+00
