# dt1_mean tres_mean dt1_std tres_std overall_std
1.249999999999999778e+00 3.750000000000000000e+00 1.000000000000000000e+00 1.000025000312502632e+00 1.000000000000000000e+00
7.029337260104717711e-01 3.717754988684104145e+00 1.426681949568311847e+00 1.124058534106890717e+00 1.217757980384944094e+00
5.103141482394396578e-01 3.884645240156016310e+00 1.253388866162651105e+00 9.434313400469316324e-01 1.205915997443015364e+00
4.085423102347385815e-01 3.758454839093349875e+00 7.354875534639613299e-01 8.569395174989389297e-01 1.143678565973806460e+00
4.216212836781332296e-01 3.700035464359882287e+00 6.739795830828224643e-01 6.239349854020920239e-01 1.029560303248242992e+00
6.344886502831543762e-01 3.683662035179813721e+00 7.025850153774543250e-01 3.730047647587218518e-01 1.080886760950420689e+00
6.605126674007950616e-01 3.570354230284363606e+00 6.606062469462447018e-01 3.736325686728970141e-01 1.130897479025100516e+00
7.910753516381593409e-01 3.541018967728416289e+00 5.035778772379433388e-01 4.000571171353813904e-01 1.111230327656273387e+00
8.810090524760710862e-01 3.546735141916252054e+00 2.313354204901672817e-01 3.864852489825194026e-01 1.088172053626426550e+00
8.376337610538144851e-01 3.616618661787117439e+00 8.143549167354395546e-02 3.093296723892327016e-01 1.074098037515054616e+00
8.402763941406795611e-01 3.647739734959129621e+00 3.356076627344681956e-02 2.358667464954678217e-01 9.989525094508813208e-01
8.358764340116510150e-01 3.729806291669419238e+00 2.142287342508925746e-02 2.152673749446581131e-01 1.077608315000582850e+00
8.318644248364847060e-01 3.750033083794325872e+00 1.421944044542156407e-02 1.467021927769713852e-01 1.051413284704102669e+00
8.299217346442855359e-01 3.745715810366313736e+00 1.036973042996721349e-02 9.879813611615961833e-02 1.051622032604209611e+00
8.278993370063695290e-01 3.759121469745833277e+00 7.123595792959149658e-03 7.296896478296997779e-02 1.036367161916238455e+00
8.301667062823950838e-01 3.742468933697904898e+00 5.595002656145642121e-03 5.526350028180213730e-02 1.077979569410579597e+00
